County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
WASHINGTON	253.1173	2222.1635	11.6500	9012.7879	170.5741	2606.2615	-34.0391	43355.0555	-197427.9495	2327.2869	1234.9164	-70.1024	2583.0579	-1626.6235	2779.4361	2896.4881	1684.5764	5217.8071	-2509.6843	7352.8306	10.940640909999999
WASHINGTON	-444.0603	2789.6435	8.6302	9681.9645	-224.5762	2612.5693	-75.7421	35758.5449	-197083.6629	4887.0902	758.7141	-3542.9596	-786.9835	-6790.8908	3260.7841	2999.9247	1324.7561	2368.5362	-4775.7377	8151.4250	8.968577619999998
WASHINGTON	-1567.1134	3330.7486	5.1921	10348.9256	-791.5319	2618.8428	-141.6232	26878.8045	-196739.9750	7232.5588	130.3786	-7135.5155	-4263.8212	-12293.1017	3739.9233	3101.4394	948.6914	-748.6097	-7290.0343	8946.7298	4.32920541
SULLIVAN	20.0570	-85.2019	9.6426	301.0816	-1.1035	86.6068	45.4406	45956.2091	-1060.6679	-354.3165	21.9438	355.5428	411.9830	633.8915	20.5479	49.0414	135.4895	522.9757	145.9208	176.3771	11.179419150000001
SULLIVAN	7.8917	-110.1735	8.2460	126.6496	-6.1949	75.2993	39.0073	42592.1915	-1249.7981	-235.4261	18.7326	210.8788	266.4527	435.6770	-55.3978	59.1868	111.1137	478.8975	113.6203	54.0959	30.009553010000005
SULLIVAN	-10.0256	-136.4700	6.5999	-53.8177	-18.4014	57.9509	26.4106	38608.7769	-1446.1573	-127.6202	14.2033	56.7850	111.9731	211.2227	-133.6858	68.8830	74.9708	432.6579	79.3826	-71.3878	25.749038680000005
SULLIVAN	-36.2960	-164.0140	4.6697	-239.5228	-47.5656	31.4510	1.8410	33915.6659	-1648.9246	-30.4280	7.8440	-106.4813	-51.1335	-41.6360	-213.9524	78.0980	21.6200	384.4105	43.2850	-199.4610	10.961449190000003
SULLIVAN	-74.5921	-192.7231	2.4179	-429.6901	-116.7473	-8.7905	-45.7680	28415.0896	-1857.2915	56.7976	-1.0342	-278.6145	-222.5023	-325.0482	-295.8490	86.8147	-56.6769	334.3142	5.4132	-329.5452	10.467327910000002
SULLIVAN	-130.9635	-222.9354	-0.2345	-626.3040	-282.5369	-70.4970	-138.9427	21905.8427	-2073.4763	135.8337	-13.5496	-461.8457	-404.2877	-645.7712	-380.2140	95.1397	-172.7057	281.7965	-34.7030	-462.9457	14.048436680000002
SULLIVAN	-213.6154	-254.5807	-3.3447	-828.6243	-678.6469	-164.7541	-320.6789	14236.8902	-2296.7164	207.0886	-31.1215	-655.9838	-596.2249	-1007.0812	-466.7112	103.0514	-343.9764	226.9985	-76.9986	-599.0990	9.711340670000006
